# Zurueckgezogene VG-Wort-Zaehlmarken. Die public_id bleibt hier
# stehen, weil sie bei VG Wort registriert ist und nicht wieder
# verwendet wird - ohne diesen Nachweis waere spaeter nicht mehr
# feststellbar, welche Marke zu welcher Seite gehoerte.
url,public_id,registered_at,withdrawn_at,reason
/track_e_kl06/uebersicht/,1be382541698404ba9bbb11b9d677224,unknown-pre-programme,2026-09-09,"Navigationsseite: Linktabelle ueber die Units, erreicht den Mindestumfang von 1800 Zeichen nicht ohne Fuelltext"
/track_e_kl07/uebersicht/,1d666cdaf5fb421fbd5eecbd4798a0f2,unknown-pre-programme,2026-09-09,"Navigationsseite: Linktabelle ueber die Units, erreicht den Mindestumfang von 1800 Zeichen nicht ohne Fuelltext"
/track_e_kl08/uebersicht/,1f173b1acb6f4da1bf1139a279016a5d,unknown-pre-programme,2026-09-09,"Navigationsseite: Linktabelle ueber die Units, erreicht den Mindestumfang von 1800 Zeichen nicht ohne Fuelltext"
/track_e_kl09/uebersicht/,209bbb3fa31744ee89d2168ab1dbc3f3,unknown-pre-programme,2026-09-09,"Navigationsseite: Linktabelle ueber die Units, erreicht den Mindestumfang von 1800 Zeichen nicht ohne Fuelltext"
/track_e_kl10/uebersicht/,22870f6691ab48a6abd011f035d73b10,unknown-pre-programme,2026-09-09,"Navigationsseite: Linktabelle ueber die Units, erreicht den Mindestumfang von 1800 Zeichen nicht ohne Fuelltext"
/track_e_kl11/uebersicht/,23b9d054097b44c1b183bc9386b002a2,unknown-pre-programme,2026-09-09,"Navigationsseite: Linktabelle ueber die Units, erreicht den Mindestumfang von 1800 Zeichen nicht ohne Fuelltext"
/track_e_kl12/uebersicht/,25963308ce3640a18d0df8bf95a90cf6,unknown-pre-programme,2026-09-09,"Navigationsseite: Linktabelle ueber die Units, erreicht den Mindestumfang von 1800 Zeichen nicht ohne Fuelltext"
/track_e_kl13/uebersicht/,26ff71c35b6949fd98842b0f52397de9,unknown-pre-programme,2026-09-09,"Navigationsseite: Linktabelle ueber die Units, erreicht den Mindestumfang von 1800 Zeichen nicht ohne Fuelltext"
/track_gm_kl06/uebersicht/,28bab522cdc4414a88c859f764669716,unknown-pre-programme,2026-09-09,"Navigationsseite: Linktabelle ueber die Units, erreicht den Mindestumfang von 1800 Zeichen nicht ohne Fuelltext"
/track_gm_kl07/uebersicht/,2acaef90ec9e47cfa56df73175d017e3,unknown-pre-programme,2026-09-09,"Navigationsseite: Linktabelle ueber die Units, erreicht den Mindestumfang von 1800 Zeichen nicht ohne Fuelltext"
/track_gm_kl08/uebersicht/,2c5bdfb79a5442d18f7d3afecf892bf9,unknown-pre-programme,2026-09-09,"Navigationsseite: Linktabelle ueber die Units, erreicht den Mindestumfang von 1800 Zeichen nicht ohne Fuelltext"
/track_gm_kl09/uebersicht/,2d8d7a317d2f44129bbc5887321ec267,unknown-pre-programme,2026-09-09,"Navigationsseite: Linktabelle ueber die Units, erreicht den Mindestumfang von 1800 Zeichen nicht ohne Fuelltext"
/track_gm_kl10/uebersicht/,2f1361fc08fb4c38bda7d17b486fde41,unknown-pre-programme,2026-09-09,"Navigationsseite: Linktabelle ueber die Units, erreicht den Mindestumfang von 1800 Zeichen nicht ohne Fuelltext"
